MBLNR;MJAHR;BUDAT;BWART;MATNR;MAKTX;WERKS;MENGE;MEINS;DMBTR;WAERS;LIFNR;NAME 1
5000012345;2024;15.01.2024;201;DIESEL-001;Diesel Fuel B7;1001;2500;L;3750.00;GBP;;
5000012346;2024;15.01.2024;201;DIESEL-001;Diesel Fuel B7;1002;1800;L;2700.00;GBP;;
5000012347;2024;22.01.2024;201;NGAS-001;Natural Gas;1001;450;M3;315.00;GBP;;
5000012348;2024;28.01.2024;201;DIESEL-001;Diesel Fuel B7;1001;3100;L;4650.00;GBP;;
5000012349;2024;05.02.2024;201;DIESEL-001;Diesel Fuel B7;1003;900;L;1350.00;GBP;;
5000012350;2024;05.02.2024;201;NGAS-001;Natural Gas;1002;320;M3;224.00;GBP;;
5000012351;2024;14.02.2024;201;DIESEL-001;Diesel Fuel B7;1001;2800;L;4200.00;GBP;;
5000012352;2024;20.02.2024;201;LPG-001;LPG Propane;1002;600;L;480.00;GBP;;
5000012353;2024;28.02.2024;201;DIESEL-001;Diesel Fuel B7;1001;2650;L;3975.00;GBP;;
5000012354;2024;06.03.2024;201;DIESEL-001;Diesel Fuel B7;1002;2100;L;3150.00;GBP;;
5000012355;2024;06.03.2024;201;NGAS-001;Natural Gas;1001;510;M3;357.00;GBP;;
5000012356;2024;18.03.2024;201;DIESEL-001;Diesel Fuel B7;1003;750;L;1125.00;GBP;;
5000012357;2024;25.03.2024;201;DIESEL-001;Diesel Fuel B7;1001;9500;L;14250.00;GBP;;
5000012358;2024;31.03.2024;201;NGAS-001;Natural Gas;1002;290;M3;203.00;GBP;;
5000012359;2024;08.04.2024;201;DIESEL-001;Diesel Fuel B7;1001;2700;L;4050.00;GBP;;
5000012360;2024;15.04.2024;201;PETROL-001;Unleaded Petrol E10;1001;450;L;675.00;GBP;;
5000012361;2024;22.04.2024;201;DIESEL-001;Diesel Fuel B7;1002;1950;L;2925.00;GBP;;
5000012362;2024;30.04.2024;201;NGAS-001;Natural Gas;1001;480;M3;336.00;GBP;;
5000012363;2024;07.05.2024;201;DIESEL-001;Diesel Fuel B7;1001;2550;L;3825.00;GBP;;
5000012364;2024;15.05.2024;201;DIESEL-001;Diesel Fuel B7;1003;850;L;1275.00;GBP;;
