AccountNumber,MeterID,ServiceAddress,Facility,BillingPeriodStart,BillingPeriodEnd,Consumption_kWh,PeakDemand_kW,TariffCode,TotalCharge,Currency,Country,Region
ACC-LDN-001,MTR-001-A,14 Industrial Way London E1 6RF,London HQ,2023-12-18,2024-01-17,48250,185,HH-BSUOS-00,12063.00,GBP,GB,UK
ACC-LDN-001,MTR-001-A,14 Industrial Way London E1 6RF,London HQ,2024-01-18,2024-02-17,51820,192,HH-BSUOS-00,12955.00,GBP,GB,UK
ACC-LDN-001,MTR-001-A,14 Industrial Way London E1 6RF,London HQ,2024-02-18,2024-03-19,46940,178,HH-BSUOS-00,11735.00,GBP,GB,UK
ACC-LDN-001,MTR-001-A,14 Industrial Way London E1 6RF,London HQ,2024-03-20,2024-04-18,39120,155,HH-BSUOS-00,9780.00,GBP,GB,UK
ACC-LDN-001,MTR-001-A,14 Industrial Way London E1 6RF,London HQ,2024-04-19,2024-05-18,35680,142,HH-BSUOS-00,8920.00,GBP,GB,UK
ACC-MCR-002,MTR-002-B,22 Trafford Park Manchester M17 1PZ,Manchester Warehouse,2023-12-22,2024-01-21,28630,98,SME-FIXED,6433.00,GBP,GB,UK
ACC-MCR-002,MTR-002-B,22 Trafford Park Manchester M17 1PZ,Manchester Warehouse,2024-01-22,2024-02-21,31240,105,SME-FIXED,7029.00,GBP,GB,UK
ACC-MCR-002,MTR-002-B,22 Trafford Park Manchester M17 1PZ,Manchester Warehouse,2024-02-22,2024-03-23,29150,101,SME-FIXED,6559.00,GBP,GB,UK
ACC-MCR-002,MTR-002-B,22 Trafford Park Manchester M17 1PZ,Manchester Warehouse,2024-03-24,2024-04-22,22840,87,SME-FIXED,5138.00,GBP,GB,UK
ACC-MCR-002,MTR-002-B,22 Trafford Park Manchester M17 1PZ,Manchester Warehouse,2024-04-23,2024-05-22,19950,76,SME-FIXED,4489.00,GBP,GB,UK
ACC-EDI-003,MTR-003-C,7 Newbridge Road Edinburgh EH28 8PL,Edinburgh Office,2024-01-05,2024-02-04,8420,42,SME-DUoS,1894.50,GBP,GB,UK
ACC-EDI-003,MTR-003-C,7 Newbridge Road Edinburgh EH28 8PL,Edinburgh Office,2024-02-05,2024-03-06,7980,39,SME-DUoS,1795.50,GBP,GB,UK
ACC-EDI-003,MTR-003-C,7 Newbridge Road Edinburgh EH28 8PL,Edinburgh Office,2024-03-07,2024-04-05,7140,36,SME-DUoS,1606.50,GBP,GB,UK
ACC-EDI-003,MTR-003-C,7 Newbridge Road Edinburgh EH28 8PL,Edinburgh Office,2024-04-06,2024-05-06,5890,31,SME-DUoS,1325.25,GBP,GB,UK
